body,number,time,user
"Bonjour,

Je suis favorable au projet qui permettra je l'espère un embellissement du site  (immobilier, parking, parc) qui est dans un état déplorable. Cela  dynamisera la côte 2000, lui amènera une activité 4 saisons qui n'existe pas aujourd'hui ou peu. Les commerces pourront mieux vivres de leur activité toute l'année.
Le parking tel qu'il est aujourd'hui est vraiment moche surtout pendant les hors saisons.",535,2025-04-03 11:54:00,Anonymisé
"Favorable au projet
Beaucoup d'avis surprenants qui pronent la décroissance alors que vous etes venu 
habiter chez nous parce qu'il y avait tout... sans le projet soyez rassuré, il n'y aura plus rien
emploi direct et indirect, services ( medical, commerces ....) on pourrait devenir la banlieue verte de grenoble .... SVP Restez sérieux !!!",534,2025-04-03 11:45:00,Anonyme
"Propriétaire sur Villard de lans, je souhaite apporter mon soutien à ce projet pour diverses raisons:
Raréfaction du produit neige en raison du réchauffement climatique et cette économie va vers une tendance baissière. 
Diversification de l offre aux nombreux touristes venant sur le plateau du vercors.
Montée en game de la clientèle.
Dynamiser le tourisme avec une offre de qualité.
Ne pas faire les erreurs de la station de l alpe du grand serre qui s est reposé sur ses lauriers sans investir...on voit le résultat",533,2025-04-03 11:44:00,Anonymisé
Je suis favorable à ce projet qui est pour moi la façon d’avoir les moyens de développer le tourisme hors ski dans cette belle montagne. Néanmoins le projet initial avec l’UTNS existante avait le très gros avantage d’avoir un lien entre le village et le balcon. Le balcon restera isolé du village. C’est bien dommage.,532,2025-04-03 11:24:00,Anonyme
"AVIS NEGATIF SUR UNE COMMUNE DE MOYENNE MONTAGNE.

Il faut arrêter de bétonner et de construire pour des lits froids....

Un habitant du vercors vigilant.

Cordialement",531,2025-04-03 11:22:00,Anonyme
Projets non basés sur des études solides et clairement pas adaptés au territoire et la temporalité,2650,2025-04-29 08:10:00,Anonyme
"Comment est il possible en 2025 d imaginer un projet de ce type ? 
Comment pouvons nous nous projeter dans un contexte de changement climatique ? 

Le projet d ananda ressort fait fi de l attractivité déjà existante du territoire. E. Effet, de nombreux lits froids existent ainsi que des lits chauds qui ne remplissent déjà pas à l année. Demain les hôteliers existants vont souffrir de cette offre. 
Que de l impact en matière de mobilité. Rien n à été envisagé pour réduire le trafic
 Les navettes hivernale sont saturées et ne permettront pas à la nouvelle clientèle de monter dans des co.ditions satisfaisantes. 
Et la question de l eau. La ressource est fragile, la neige de culture déjà présente. Il faut davantage penser à l économiser en 2025 plutôt que de la gaspiller. 
Ce projet est anachronique et aucun habitant n en veut (excepté quelques interesses). Merci de prendre en compte les avis de toute cette PPVE.
Cordialement",2649,2025-04-29 08:09:00,Anonyme
"Nous sommes pour ce projet !
 Les opposants sont des néo habitants qui s'opposent par principe à des projets de développement économique sous couvert de l'écologie. Les habitants du plateau ont besoin de ce projet pour que l'attractivité touristique perdure. Oui il faut peut être repenser la forme de tourisme mais en tout cas ce projet viendra au service de cette nouvelle forme touristique. 
On a déjà perdu assez de temps à demander des études complémentaires non nécessaire, maintenant que la non négativité de l'impact a été approuvé, il faut y aller !",2648,2025-04-29 08:09:00,Anonyme
"Contre le projet Parker qui va totalement dénaturer ce magnifique endroit,",2647,2025-04-29 08:09:00,Anonymisé
"Je suis contre ce projet comme la majeur partie de la population. Effectivement il faut repenser au dynamisme vu le manque de neige qui va se faire ressentir durant les années. Mais il faut un projet à l'image de notre Vercors. Développer les sport de nature vélo VTT équitation trail, rando et j'en passe ! Mais le côté bling bling n'a pas sa place dans le Vercors, cela ne colle pas à l'histoire du Vercors, ni à l'enjeu climatique. Que va-t-il se passer une fois le luxe installé ? Exactement comme dans les stations bling bling , plus rien ne sera abordable pour les locaux, déjà que les loyers sont assez onéreux et équivalent  à la côte d'azur. Et les courses n'en parlons pas.
Le but n'est pas de faire partir nos locaux et nos jeunes pour des endroits plus abordable.
Pour moi c'est juste un caprice de riche.",2646,2025-04-29 08:08:00,Anonyme
"J'ai choisi de m'installer dans cette région Drôme/Vercors avec ma famille pour son respect de la nature et de ses habitants, humains et non humains.
Je vois mal de pareils projets s'implanter dans le cadre du Vercors sans y avoir un impact néfaste à long terme.",2645,2025-04-29 08:07:00,Anonymisé
Pour un projet plus soucieux des problematiques du vercors et avec une perennite sur le long terme ce qui n est pas le cas du projet de TP,2644,2025-04-29 08:06:00,Anonyme
"favorable au projet de l’UTNS parce que le tourisme c’est la vie ici ! sans touristes pas de magasins, pas de sports, pas d'avenir... arrétons de tout bloquer, on a besoin de ça pour exister encore dans 10 ans. POUR VILLARD !!!",2643,2025-04-29 08:06:00,Anonymisé
Je suis contre le projet pour dénaturer encore des beaux espaces et amener des gens qui n'en ont rien à faire de la nature. Un non sens ce projet,2642,2025-04-29 08:05:00,Anonyme
"De quoi sera fait l’avenir si on continue à autoriser des projets de ce type dans un monde en profonde mutation, un réchauffement climatique qui s’aggrave, une biodiversité en fort déclin ? Non, les bénéfices financiers de certains ne justifient pas d’implanter de nouvelles unités touristiques qui génèrent du CO2 et portent atteinte à la biodiversité, au détriment du vivant, de nos enfants et petits-enfants, des habitants permanents du Vercors. Ce projet est contre l’intérêt public. Votre devoir est de l’annuler.",2641,2025-04-29 08:04:00,Anonyme
"Bonjour

Je constate avec beaucoup d'amertume que les élus s'intéressent une fois de plus à l'image, à l'argent !

Qu ont ils essayé de faire pour les fermetures de classe, pour limiter le départ de famille pour lesquelles le coût de la vie est trop important,

Ont ils conscience que notre territoire devient un territoire de bobo ecolos et de neo retraités avec un pouvoir d'achat important ?

Ont ils conscience qu une partie importante de la population n arrive pas à vivre correctement ?

Ont ils conscience que certains ne peuvent accéder à l emploi ?

Ont ils conscience que de nombreux jeunes ne font ni sport ni activité, contrairement à ""l'image"" que le territoire peut donner ?! 

Je m interroge sur  l arrive de la nouvelle taxe sur les residences secondaires... Juste avant le projet de TP... 

Bref.. Je suis contre les deux projets !!!

La vraie vie du territoire n'est pas celle avancée par ces projets.

J espère que les futurs élus se préoccuperont davantage des habitants, de leurs problématiques et de celles du territoire, de NOTRE territoire ... Que de leur image !

À bon entendeur.. Salut.",1980,2025-04-27 12:12:00,Anonyme
100% pour,1979,2025-04-27 11:53:00,Anonyme
"Projet intéressant pour une station de moyenne montagne. Il devrait permettre une transition vers des activités 4 saisons, que la commune ne saurrait ni financer ni gérer. 
Point à améliorer :parking et stationnement gratuit supprimé au P1.
Le stationnement gratuit devrait rester identique au volume actuel. 
Le promoteur ou propriétaire devra s'engager sur la pérennité du projet sur une durée longue de 20 ans minimum",1978,2025-04-27 11:51:00,Anonyme
"Ce projet est pour moi SURDIMENSIONNÉ, INUTILE, DOMMAGEABLE pour la commune et pour le plateau du Vercors.

SURDIMENSIONNÉ.

- La commune de Villard a encore une dimension humaine malgré la densité du centre ville et les nombreuses constructions individuelles disséminées au fil du temps autour de la ville et les constructions du pied des pistes. Y ajouter 20000 m2 de constructions nouvelles modifiera sa configuration, et (dans le cas où ces constructions rencontreraient un public) une affluence qui dévaloriserz l'attrait actuel de la ville m.

- Ne pas oublier que la fonction de la commune est double: fournir un cadre de vie agréable à ses habitants. Accueillir chaque jour les habitants citadins qui ont besoin de retrouver l'espace naturel dont ils ne disposent pas dans la vallée. Les constructions envisagées ne confortent aucune de ces 2 fonctions.

INUTILE.

Quand je vais à Villard en hiver, je fais un peu de fond, et... de la marche, faute d'une neige suffisante. On voit tous que la période d'enneigement s'est beaucoup réduite, et ça va se réduire encore. Bien sûr les clients viendront de moins en moins dans le Vercors pour skier. À quoi bon leurs proposer 20000 m2 de plus pour y séjourner.

- Les lits froids : on les passe en pertes et profits ? Rénover l'existant serait plus efficace et préserverait l'environnement. On ne peut accepter de nouvelles constructions de logements qui seront vides 75% du temps. Malheureusement les lits froids ne sont pas un sujet pour les promoteurs dont le but est de vendre le + vite possible et de passer à autre chose.

- Nouveaux emplois ? Les chiffres que j'ai vus se situent entre qq dizaines et une centaine d'emplois créés. C'est faible et invérifiable. Et quels services nouveaux ces emplois apportent aux habitants et à la préservation des espaces naturels communs ? Mystère...

DOMMAGEABLE.

- Le plateau du Vercors est un miracle pour nous, habitants de la vallée. Défigurer une ville qui est le point d'entrée au parc est d'une grande tristesse.

- trafic auto : peu de possibilités pour entrer et sortir de Villard : cela va créer un engorgement de véhicules, nécessiter la création de parkings, avec les gênes qu'ils occasionnent.

- On connaît le problème de l'eau dans ce massif calcaire. Comment alimenter en eau en été, particulièrement dans les épisodes de forte chaleur qui vont se poursuivre et s'accentuer.

- Dans la perspective du Zéro Artificialisation Nette, il n'est pas imaginable d'envisager un défrichement. Les forêts ont déjà été décimées dans cette partie du plateau. 

- Construire de nouveaux logements induit un coût carbone (émissions liées aux matériaux, au transport, à l'énergie) qui va s'ajouter aux émissions de la, France, au moment où nous devons les atténuer. Il n'y aura pas de ""retour carbone"" (temps au bout duquel les émissions dues à la construction sont compensées par les moindres émissions à l'utilisation des bâtiments).  Ce projet va contre l'intérêt collectif des habitants et des visiteurs.",1977,2025-04-27 11:30:00,Anonymisé
"Oui pour des bons projets basés sur un dialogue, non à ceux-ci !

La participation numéro 1943 nous encourage à nous retrouver ensemble dans un Ehpad UTNS dans 30 ans.
Pourquoi pas nous retrouver et discuter de la réalité des choses et surtout constater l’évolution dramatique du climat. On pourrait se dire, mince, si nous avions travaillé ensemble à une vision sans neige nous ne serions pas obligé de nous entasser dans un UTNS qui n’a pas été prévu pour cela. Les touristes n’auraient pas désertés avec la disparition de la neige, on aurait dû prévoir d’autres équipements, des équipements touristiques utilisables sans neige.

Car il faut le reconnaître, ce que l’on nous propose en 2025 c’est des projets issus d’un deal pour garder un investisseur dans la station. Une station dessinée dans un cahier des charges ou 99% des investissements sont pour la neige !
Donc des bâtiments pour des skieurs qui ne remplissent déjà pas les lits froids existants et une station utltra moderne pour faire uniquement du ski qui disparaîtra avant même l’amortissement des équipements. 
Au-delà de l’environnement, cette vision est à coté de la plaque.

Ce qui est appelé « les nouveaux venus » qui n’auraient pas le droit de donner leurs avis, viennent précisément ici parce qu’ils ont vécu les ravages de l’urbanisation et de la destruction de la biodiversité ailleurs. Ils ont cette expérience que l’on pourrait écouter avant de les rejeter.
La plupart ont leur forfait à l’année ou/et pratiquent régulièrement les activités de neige (car enfin, venir habiter là et ne pas aimer la neige) ils ont conscience du temps qui passe et de la diminution de la neige.

Beaucoup, (environ 1000 courageux qui donnent de leur temps pour le collectif), se sont retrouvés et proposent des projets d’habitats innovants, une dsp de transition, une étude sur l’eau…avec ces milliers d’heures passées à s’investir, ils pensaient être constructifs et avaient l’espoir de discutions ouvertes avec les élus, mais le dialogue est bien difficile et souvent fait d’invectives, de mensonges ou de dissimulations ! 
Les projets tracés pour répondre à un investisseur ne bougent pas d’un poil, les études sont biaisées et des documents pas communiqués ! 
Mieux une étude Économie et Tourisme 2040 est lancée mais la décision sur les projets ne peut pas attendre ses conclusions !!! 
Certaines associations ont été reçues qq heures par des experts qui ne vivent pas le territoire. Au final, les mêmes élus qui nous imposent des projets qui reposent sur un deal financier avec une personne qui ne connaît que les €, vont choisir le scénario pour le futur !!! Où est le dialogue et l’avis des habitants ?

Oui, 10 000 fois oui pour une dialogue ouvert et des ateliers entre citoyens, experts et élus pour dessiner le territoire de demain. De vrais ateliers, pas comme ceux de la DSP.

Donc non pour ces projets UTN, oui pour travailler ensemble à notre futur (y compris un Ehpad adapté :-))",1976,2025-04-27 11:28:00,Anonyme
"Document joint


 Document
                                                        n°1",1975,2025-04-27 11:12:00,Anonymisé
"Bonjour , JE suis absolument contre ce projet , qui va encore apporter du béton , et laissez des ruines sans apporter du mieux . seulement  énormément de frais pour les eaux et les égouts les ordures ect , ce que personne communique qui va payer pendant et après !
une bien triste vision et gestion du patrimoine !",1974,2025-04-27 11:06:00,Anonyme
"Document joint


 Document
                                                        n°1",1973,2025-04-27 10:51:00,Anonyme
"C'est une chance pour Villard-de-Lans d'avoir de nouvelles capacités d'accueil, je suis donc à 100% pour le projet de Tony Parker.
Le Airbnb n'est pas une solution pour nos stations.
Il n'y a plus d’hôtel sur Villard, ou vont loger les vacanciers.",1972,2025-04-27 10:33:00,Anonymisé
"Ce projet est une chance pour Villard-de-Lans.
A l'heure ou nous manquons cruellement  de capacité d’accueil de nuit, les hôtels fermant les uns après les autres, une station sans capacité d'accueil de nuit meurt!!!!
Il permettra de rebooster toute une économie.",1971,2025-04-27 10:27:00,Anonymisé
Ce projet me parait être un non sens dans ce si beau territoire naturel qu'est le Vercors. L'impact environnemental et le projet économique sont incohérents. Il existe certainement d'autres possibilités de faire vivre ces magnifiques sites tout en préservant l'environnement.,2840,2025-04-29 11:21:00,Anonymisé
"Chaque jour je vois les gamins prendre le car pour aller en cours, parfois avec des retards, des trajets rallongés par la neige, les touristes, les bouchons. Et là on va rajouter un énorme complexe qui va encore saturer les routes sans amélioration du réseau local ? Y’a même pas de vrai plan de transport public autour du projet. C’est toujours les locaux qui trinquent. On parle jamais de nous dans ce dossier.",2839,2025-04-29 11:21:00,Anonymisé
"Je travaille à l’office de tourisme et je vois que les vacanciers ne cherchent plus forcément le ski. Ils veulent de la nature, du calme, des activités accessibles. Le “haut de gamme”, c’est pas ce qu’ils réclament. Beaucoup me disent préférer des gîtes, des randos, des produits locaux. Ce projet UTNS vise une clientèle qui ne correspond même plus à la demande. C’est un pari risqué, basé sur une vision datée du tourisme.",2838,2025-04-29 11:21:00,Anonyme
"On n’a pas envie d’hériter d’un territoire abîmé. Ce projet, il est fait pour des gens qui viennent trois semaines dans l’année, pas pour ceux qui vivent ici. C’est pas à nous de payer le prix écologique et économique de leurs vacances. Le climat se dérègle sous nos yeux, et on continue comme si tout allait bien ? J’ai peur que dans 10 ans, on regrette amèrement ce genre de décision. Le futur, c’est nous, et on n’a pas été écoutés.",2837,2025-04-29 11:21:00,Anonymisé
"J’ai siégé au conseil municipal il y a quelques années, et je sais comment certains projets avancent en coulisses sans vraie concertation. Ce projet UTNS, c’est typiquement ça : présenté comme une opportunité, mais sans transparence sur les coûts, les risques, les retombées réelles. Les habitants ne sont pas consultés sérieusement. On nous met devant le fait accompli, alors que ce sont nos impôts, notre cadre de vie, notre territoire qui sont en jeu.",2836,2025-04-29 11:21:00,Anonyme
"J’accompagne des groupes toute l’année pour faire découvrir le Vercors autrement : raquettes, escalade, orientation… Ce que veulent les gens aujourd’hui, c’est du sens, de l’expérience authentique. Pas des piscines chauffées et du spa “vue sur neige artificielle”. On a une richesse énorme ici, mais au lieu de la valoriser, on veut construire un complexe qui tourne le dos au milieu naturel. C’est absurde. On peut faire du tourisme autrement, sans détruire ce qu’on veut montrer.",2835,2025-04-29 11:20:00,Anonymisé
"On galère déjà avec un système de santé saturé : pas assez de médecins, des trajets compliqués pour les urgences, et voilà qu’on dépense de l’argent public pour un projet hôtelier qui ne bénéficiera pas aux habitants. On devrait mettre les priorités ailleurs. Le projet UTNS ne crée pas de services, ne renforce pas l’offre locale, et n’améliore pas le quotidien ici. Il détourne des ressources alors qu’il y a des urgences sociales sur le territoire.",2834,2025-04-29 11:20:00,Anonymisé
"Je travaille en lien direct avec les écosystèmes du plateau. Le secteur visé par l’UTNS est déjà sous pression. Augmenter la fréquentation, l’artificialisation et les besoins en eau pour la neige de culture, c’est aller contre toutes les alertes scientifiques. Les forêts souffrent, la biodiversité recule. Ce genre de projet aggrave tout. Il faut développer un tourisme doux, ancré dans le vivant, pas des usines à dormir chauffées en hiver pour quelques semaines.",2833,2025-04-29 11:20:00,Anonyme
"J’ai tenu un petit hôtel pendant 20 ans ici. Ce qui faisait venir les gens, c’était le charme du village, la nature, les balades, l’ambiance. Pas des complexes luxueux impersonnels. Le projet UTNS va à l’encontre de cette identité. C’est du tourisme hors-sol. Et quand le projet capotera, comme beaucoup d’autres avant lui, on se retrouvera avec une friche bétonnée de plus. Ce n’est pas ça, le Vercors.",2832,2025-04-29 11:20:00,Anonymisé
"Je vis du ski, mais je sais aussi que mon métier est en danger. Ce projet, soi-disant pour sauver l’activité, va juste accélérer la chute. On a de moins en moins de jours de neige, et les clients voient bien qu’on vend du rêve avec 125 km de pistes alors qu’en vrai on n’en ouvre même pas la moitié certains hivers. Faut être lucide : ce modèle est à bout de souffle. On devrait réfléchir ensemble à comment adapter la montagne, pas s’enfoncer dans un schéma dépassé.",2831,2025-04-29 11:19:00,Anonymisé
"Le projet va coûter un bras aux contribuables pour les réseaux d’eau et d’assainissement. Et en plus ça servira qu’à des touristes. Moi j’veux bien payer des impôts, mais pas pour ça.",2810,2025-04-29 11:07:00,Anonyme
"On nous vend du rêve avec un “tourisme 4 saisons”, mais y’a aucune idée concrète derrière. Juste des mots pour faire joli dans le dossier. Entre octobre et décembre ou en mai, vous allez faire quoi franchement ? Des piscines d’hôtel ? À la montagne ?",2809,2025-04-29 11:07:00,Anonyme
"Les mecs parlent de venir en avion pour aller au ski à Villard ? Sérieux ? C’est censé être un projet moderne, respectueux du climat ? Là on marche sur la tête, on est en 2025 pas en 1990…",2808,2025-04-29 11:07:00,Anonyme
"Un complexe “haut de gamme” qui va tourner le dos au reste du village, c’est ça le projet ? Super pour les touristes riches, mais zéro pour les habitants et les commerces locaux. Ça va juste faire une bulle fermée de plus.",2807,2025-04-29 11:07:00,Anonyme
"Encore un gros bâtiment vide 8 mois sur 12… On a déjà les Glovettes qui tombent en ruine et vous voulez en rajouter ? Avant de construire, rénovez l’existant, c’est plus logique et surtout plus écolo.",2806,2025-04-29 11:06:00,Anonyme
"Vous parlez de 125 km de pistes mais c’est du pipeau. Beaucoup sont fermées, démontées ou jamais ouvertes. Faut être honnête : le ski à Villard c’est plus ce que c’était. Alors pourquoi construire un truc qui repose là-dessus ?",2805,2025-04-29 11:06:00,Anonyme
"Franchement j’comprends pas qu’on balance encore de l’argent public là-dedans alors qu’on sait que la neige elle est plus là. Le ski c’est plus l’avenir, même le parc du Vercors le dit dans sa charte. Faut arrêter de s’entêter avec des projets du passé.",2804,2025-04-29 11:06:00,Anonyme
CONTRE le projet de T. Parker à Villard-de-Lans. Le Vercors doit être préservé.,2803,2025-04-29 11:04:00,Anonymisé
"Je suis contre le projet porté par monsieur Parker… ou quand l’économie prend une nouvelle fois l’avantage sur l’écologie: déplorable par les temps qui courent et dans un tel environnement. D’autant que cela n’apparaît pas du tout évident qu’il soit même rentable économiquement (en tous cas pas pour les locaux, peut être juste pour les investisseurs et encore je doute de la solidité de l’étude économique  tellement cela paraît déconnecté...). Le projet  se situe à quelques km du centre ville où se concentre la majorité des commerces, sorte de délocalisation de ce que les entrepreneurs espèrent de nouveau dynamisme. Mais la station vit l’été sans ce projet: portée par un terrain de jeu naturel qu’il faut cesser de vouloir surexploiter. 
Projet bien trop gros et bien trop irrespectueux de la nature  (sans parler des problèmes d’approvisionnement de l’eau entre autre)… les gens qui habitent le Vercors et qui y viennent en profiter pour un week end ou plus aiment le côté nature de ce coin. La cote 2000 est déjà un très mauvais exemple de ce que ce type de projet a dénaturé le paysage et on voudrait en rajouter une couche ? Pour un projet de luxe ?… à quel prix de dégagement de co2 supplémentaire rien que pour la construction ?…  quand je vois le nombre de locations vacantes, ou de chambres d’hôtel disponibles régulièrement à Villard, je ne vois pas ce que ce projet va amener à part augmenter peut être encore le nombre de lits vacants.. quelle activité supplémentaire ce projet va t’il proposer? Un mur d’escalade ?? Alors qu’il y en a un qui va ouvrir aux’ geymonds et que le Vercors regorge de sites naturels... un spa ?… déjà existant à corrençon .. et sinon quoi d’autres ..? Il n’y a pas d’arguments raisonnés et fondés sur la nécessité de ce projet que je trouve irrespectueux, irréfléchi ou mal pensé et à contre courant de notre époque et de la sobriété qu’il serait bien plus sage d’adopter.",2802,2025-04-29 11:03:00,Anonyme
"Ce projet immobilier se construisant sur des surfaces déjà artificialisées est  une bonne chose. Cependant  l'hôtellerie 4 étoiles et les activités   proposés  sont accessibles qu' à  une minorité de personnes qui viendront de loin. Selon moi, il est urgent de revoir ce projet   avec   des hébergements et activité  plus modestes pour qu'ils soient accessibles  à tout citoyen avec un plan de déplacement le plus vertueux et coopératif possibles  et  un programme de préservation des ressources naturelles ( sol, eau, faune et flore...)   et des paysages montagnards du Vercors. Le projet  de ce jour appartient à un monde qui est voué à disparaitre dans les prochaines décennies.  Si nous n'organisons pas la sobriété pour le plus grand  nombre au niveau de ce  territoire, ces espaces  ne seront plus accessibles à nous  humains.",2801,2025-04-29 11:01:00,Anonymisé
"Encore un projet catastrophique écologiquement. Encore du béton encore plus de monde encore plys d'eau consommée alors que la neige ne vient plus au rendez-vous il est impensable de vouloir réaliser de tel projet. 
De plus le libre accès à la station est compromis du fait de la procession de la société d'exploitation des pistes et de ce futur domaine immobilier.",1900,2025-04-26 17:15:00,Anonymisé
"Après réflexion , Oui je veux de ce projet moins ambitieux qu’initialement prévu. Oui",1899,2025-04-26 17:05:00,Anonyme
"Je suis opposé au projet dit de ""Tony Parker"" à Villard-de-Lans.
En effet rajouter 600 ou 700 lits dans une ville où les résidences secondaires et les locations sont fermées la plupart du temps est absurde, 
de plus cela va poser des problèmes d'eau , consommation et assainissement ainsi que de pollution.
C'est un projet destiné à des personnes ayant des gros moyens financiers ou pour des entreprises , au détriment de gens plus modestes qui peuvent venir en montagne pour le ski ou pour des activités autre tout le long de l'année.
Pour cela il serait bon de privilégier des structures d'accueil de taille humaine respectueuse de l'environnement et des habitants locaux",1898,2025-04-26 16:59:00,Anonyme
"Je ne comprend pas l'intérêt de construire des logements supplémentaires à la place du parking du balcon de la cote 2000 alors que nous voyons toute l'année des logements complètement vides en face de chez nous, route de la Balmette.
D'autre part , les infrastructures routières actuelles sont dèjà insuffisantes, qu'en serait il avec un surplus de fréquentation ?
Nous avons choisi Villard pour son côté familial et calme et redoutons cette frénésie de pollution éventuelle. 
Je suis contre ces projets qui ressemblent à ceux des années 70.Le monde a changé, Mesdames Messieurs",1897,2025-04-26 16:55:00,Anonymisé
